iter	Passed	Remaining
0	62	62056
1	63	31559
2	63	21263
3	64	16032
4	64	12905
5	65	10853
6	65	9362
7	66	8252
8	66	7375
9	67	6675
10	67	6109
11	68	5633
12	68	5230
13	69	4883
14	69	4580
15	70	4322
16	70	4092
17	71	3891
18	71	3708
19	72	3539
20	72	3388
21	73	3252
22	73	3129
23	74	3014
24	74	2910
25	75	2811
26	75	2723
27	76	2639
28	76	2563
29	77	2491
30	77	2423
31	78	2359
32	78	2300
33	78	2243
34	79	2189
35	79	2141
36	80	2094
37	80	2048
38	81	2005
39	81	1963
40	82	1926
41	82	1890
42	83	1856
43	83	1823
44	84	1791
45	84	1760
46	85	1731
47	85	1703
48	86	1674
49	86	1648
50	87	1622
51	87	1598
52	88	1574
53	88	1552
54	89	1530
55	89	1509
56	90	1489
57	90	1470
58	91	1451
59	91	1433
60	91	1414
61	92	1397
62	92	1380
63	93	1364
64	93	1350
65	94	1336
66	94	1321
67	95	1304
68	95	1290
69	96	1276
70	96	1264
71	97	1251
72	97	1238
73	97	1226
74	98	1214
75	98	1203
76	99	1191
77	99	1181
78	100	1170
79	100	1159
80	101	1149
81	101	1139
82	102	1130
83	102	1120
84	102	1108
85	103	1099
86	103	1088
87	104	1079
88	104	1072
89	105	1064
90	105	1056
91	106	1049
92	106	1042
93	107	1035
94	108	1028
95	108	1022
96	109	1015
97	109	1008
98	110	1002
99	110	995
100	111	989
101	111	980
102	111	974
103	112	968
104	112	962
105	113	956
106	113	951
107	114	945
108	114	939
109	115	933
110	115	928
111	116	923
112	117	918
113	117	913
114	118	908
115	118	903
116	119	898
117	119	894
118	120	888
119	120	884
120	121	880
121	121	875
122	122	869
123	122	865
124	123	861
125	123	858
126	124	854
127	124	849
128	125	845
129	125	841
130	126	837
131	126	834
132	127	830
133	127	826
134	128	823
135	129	819
136	129	816
137	130	812
138	130	808
139	131	804
140	131	801
141	132	798
142	132	795
143	133	792
144	133	789
145	134	786
146	134	782
147	135	779
148	135	776
149	136	773
150	136	770
151	137	767
152	138	764
153	138	761
154	139	758
155	139	756
156	140	753
157	140	751
158	141	747
159	141	745
160	142	742
161	143	740
162	143	737
163	144	734
164	144	732
165	145	729
166	145	727
167	146	724
168	146	722
169	147	720
170	148	717
171	148	715
172	149	713
173	149	711
174	150	708
175	150	706
176	151	703
177	152	702
178	152	700
179	153	698
180	153	695
181	154	693
182	155	692
183	155	690
184	156	688
185	156	686
186	157	684
187	158	682
188	158	680
189	159	678
190	159	676
191	160	675
192	161	673
193	161	671
194	162	669
195	162	667
196	163	665
197	163	663
198	164	661
199	165	660
200	165	658
201	166	656
202	166	654
203	167	653
204	168	651
205	168	649
206	169	648
207	169	646
208	170	645
209	171	643
210	171	642
211	172	640
212	172	638
213	173	637
214	174	635
215	174	633
216	175	631
217	175	629
218	176	627
219	176	625
220	176	623
221	177	621
222	177	619
223	178	617
224	178	615
225	179	614
226	179	612
227	180	610
228	180	609
229	181	607
230	181	605
231	182	603
232	182	602
233	183	600
234	183	598
235	184	596
236	184	595
237	185	593
238	185	591
239	186	590
240	187	590
241	188	589
242	188	587
243	189	585
244	189	583
245	189	582
246	190	580
247	190	578
248	191	577
249	191	575
250	192	574
251	192	572
252	193	570
253	193	569
254	194	567
255	194	566
256	195	564
257	195	563
258	196	561
259	196	560
260	197	558
261	197	557
262	198	555
263	198	554
264	199	552
265	199	551
266	200	550
267	200	548
268	201	547
269	201	545
270	202	544
271	202	542
272	203	541
273	203	539
274	204	538
275	204	537
276	205	535
277	205	534
278	206	533
279	206	531
280	207	530
281	207	528
282	208	527
283	208	526
284	209	524
285	209	522
286	209	521
287	210	519
288	210	518
289	211	516
290	211	515
291	211	513
292	212	512
293	212	510
294	213	509
295	213	508
296	214	506
297	214	505
298	214	504
299	215	502
300	215	501
301	216	499
302	216	498
303	217	497
304	217	495
305	217	494
306	218	493
307	218	491
308	219	490
309	219	488
310	220	487
311	220	486
312	220	484
313	221	483
314	221	482
315	222	480
316	222	479
317	222	478
318	223	476
319	223	475
320	224	474
321	224	473
322	225	473
323	226	471
324	226	470
325	227	469
326	227	468
327	227	466
328	228	465
329	228	464
330	229	463
331	229	462
332	230	460
333	230	459
334	230	458
335	231	457
336	231	456
337	232	454
338	232	453
339	233	452
340	233	451
341	234	450
342	234	449
343	235	448
344	235	447
345	235	445
346	236	444
347	236	443
348	237	442
349	237	441
350	238	440
351	238	439
352	238	437
353	239	436
354	239	435
355	240	434
356	240	433
357	241	432
358	241	431
359	241	430
360	242	428
361	242	427
362	243	426
363	243	425
364	243	424
365	244	423
366	244	422
367	245	421
368	245	420
369	246	418
370	246	417
371	246	416
372	247	415
373	247	414
374	248	413
375	248	412
376	248	411
377	249	410
378	249	409
379	250	408
380	250	407
381	251	406
382	251	405
383	251	404
384	252	403
385	252	401
386	253	400
387	253	399
388	253	398
389	254	397
390	254	396
391	255	395
392	255	394
393	256	393
394	256	392
395	256	391
396	257	390
397	257	389
398	258	388
399	258	387
400	258	386
401	259	385
402	259	384
403	260	383
404	260	383
405	261	382
406	261	381
407	261	380
408	262	379
409	262	378
410	264	378
411	264	377
412	264	376
413	265	375
414	265	374
415	266	373
416	266	372
417	266	371
418	267	370
419	267	369
420	268	368
421	268	368
422	269	367
423	269	366
424	269	365
425	270	364
426	270	363
427	271	362
428	271	361
429	272	360
430	272	359
431	272	358
432	273	357
433	273	356
434	274	356
435	274	355
436	274	354
437	276	354
438	276	353
439	276	352
440	277	351
441	277	350
442	278	349
443	278	348
444	279	347
445	279	347
446	279	346
447	280	345
448	280	344
449	281	343
450	281	342
451	282	342
452	282	341
453	282	340
454	283	339
455	283	338
456	284	337
457	284	336
458	285	335
459	285	335
460	285	334
461	286	333
462	286	332
463	287	331
464	287	330
465	288	330
466	288	329
467	288	328
468	289	327
469	289	326
470	290	325
471	290	324
472	290	324
473	291	323
474	291	322
475	292	321
476	292	320
477	293	320
478	293	319
479	293	318
480	294	317
481	294	316
482	295	315
483	295	315
484	295	314
485	296	313
486	296	312
487	297	311
488	297	310
489	297	310
490	298	309
491	298	308
492	299	307
493	299	306
494	300	306
495	300	305
496	300	304
497	301	303
498	301	303
499	302	302
500	302	301
501	303	300
502	303	299
503	303	299
504	304	298
505	304	297
506	305	296
507	305	296
508	306	295
509	306	294
510	306	293
511	307	292
512	307	292
513	308	291
514	308	290
515	308	289
516	309	289
517	309	288
518	310	287
519	310	286
520	311	286
521	311	285
522	311	284
523	312	283
524	312	282
525	313	282
526	313	281
527	314	280
528	314	280
529	314	279
530	315	278
531	315	277
532	316	277
533	316	276
534	316	275
535	317	274
536	317	274
537	318	273
538	318	272
539	318	271
540	319	271
541	319	270
542	320	269
543	320	268
544	321	268
545	321	267
546	322	266
547	322	266
548	322	265
549	323	264
550	323	263
551	324	263
552	324	262
553	325	261
554	325	261
555	325	260
556	326	259
557	326	258
558	327	258
559	327	257
560	328	256
561	328	255
562	328	255
563	329	254
564	329	253
565	330	253
566	330	252
567	331	251
568	331	251
569	331	250
570	332	249
571	332	248
572	333	248
573	333	247
574	333	246
575	334	246
576	334	245
577	335	244
578	335	244
579	336	243
580	336	242
581	336	242
582	337	241
583	337	240
584	338	240
585	338	239
586	339	238
587	339	237
588	339	237
589	340	236
590	340	235
591	341	235
592	341	234
593	342	233
594	342	233
595	342	232
596	343	231
597	343	231
598	344	230
599	344	229
600	345	229
601	345	228
602	345	227
603	346	227
604	346	226
605	347	225
606	347	225
607	348	224
608	348	223
609	348	223
610	349	222
611	349	221
612	350	221
613	350	220
614	351	219
615	351	219
616	351	218
617	352	217
618	352	217
619	353	216
620	353	215
621	354	215
622	354	214
623	354	213
624	355	213
625	355	212
626	356	211
627	356	211
628	356	210
629	357	209
630	357	209
631	358	208
632	358	207
633	359	207
634	359	206
635	359	205
636	360	205
637	360	204
638	361	204
639	361	203
640	361	202
641	362	202
642	362	201
643	363	200
644	363	200
645	364	199
646	364	198
647	364	198
648	365	197
649	365	196
650	366	196
651	366	195
652	367	195
653	367	194
654	367	193
655	368	193
656	368	192
657	369	191
658	369	191
659	370	191
660	371	190
661	371	189
662	372	189
663	372	188
664	373	188
665	373	187
666	374	186
667	374	186
668	375	185
669	375	184
670	375	184
671	376	183
672	376	183
673	377	182
674	377	181
675	378	181
676	378	180
677	378	179
678	379	179
679	379	178
680	380	178
681	380	177
682	381	176
683	382	176
684	382	175
685	383	175
686	383	174
687	383	174
688	384	173
689	384	172
690	385	172
691	385	171
692	386	171
693	386	170
694	386	169
695	387	169
696	387	168
697	388	167
698	388	167
699	389	166
700	389	166
701	389	165
702	390	164
703	390	164
704	391	163
705	391	162
706	391	162
707	392	161
708	392	161
709	392	160
710	393	159
711	393	159
712	394	158
713	394	158
714	395	157
715	396	157
716	396	156
717	397	155
718	397	155
719	397	154
720	398	154
721	398	153
722	399	152
723	399	152
724	400	151
725	400	151
726	401	150
727	401	149
728	401	149
729	402	148
730	402	148
731	403	147
732	403	146
733	403	146
734	404	145
735	404	145
736	405	144
737	405	144
738	406	143
739	406	142
740	406	142
741	407	141
742	407	141
743	408	140
744	408	139
745	409	139
746	409	138
747	409	138
748	410	137
749	410	136
750	411	136
751	411	135
752	411	135
753	412	134
754	412	133
755	413	133
756	413	132
757	414	132
758	414	131
759	415	131
760	415	130
761	415	129
762	416	129
763	416	128
764	417	128
765	417	127
766	418	126
767	418	126
768	418	125
769	419	125
770	419	124
771	420	124
772	420	123
773	421	122
774	421	122
775	421	121
776	422	121
777	422	120
778	423	120
779	423	119
780	424	118
781	424	118
782	424	117
783	425	117
784	425	116
785	426	116
786	426	115
787	426	114
788	427	114
789	427	113
790	428	113
791	428	112
792	428	111
793	429	111
794	429	110
795	430	110
796	430	109
797	430	109
798	431	108
799	431	107
800	431	107
801	432	106
802	432	106
803	432	105
804	433	104
805	433	104
806	434	103
807	434	103
808	434	102
809	435	102
810	435	101
811	435	100
812	436	100
813	436	99
814	437	99
815	437	98
816	437	98
817	437	97
818	438	96
819	438	96
820	439	95
821	439	95
822	439	94
823	440	93
824	440	93
825	440	92
826	441	92
827	441	91
828	441	91
829	442	90
830	442	90
831	442	89
832	443	88
833	443	88
834	444	87
835	444	87
836	444	86
837	445	86
838	445	85
839	445	84
840	446	84
841	446	83
842	446	83
843	447	82
844	447	82
845	448	81
846	448	81
847	448	80
848	449	79
849	449	79
850	449	78
851	450	78
852	450	77
853	450	77
854	451	76
855	451	75
856	452	75
857	452	74
858	452	74
859	453	73
860	453	73
861	453	72
862	454	72
863	454	71
864	454	71
865	455	70
866	455	69
867	455	69
868	456	68
869	456	68
870	457	67
871	457	67
872	457	66
873	458	66
874	458	65
875	459	64
876	459	64
877	459	63
878	460	63
879	460	62
880	460	62
